"","primaryTitle","tconst","averageRating","numVotes","titleType","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","rating","critics_pick","author","headline","summary","pub_date","opening_date","updated_date","link_type","link_url","link_suggested","multimedia_type","multi_media_src","multimedia_height","multimedia_width","sent_mean","sent_sd","sent_sum"
"1","'Til Madness Do Us Part","tt3120794",8.1,311,"movie","Feng ai",0,"2013","\N","227","Documentary","",0,"BEN KENIGSBERG","Review: ‘’Til Madness Do Us Part’ Finds Hell and Humanity","Wang Bing’s documentary about a mental hospital in China is overlong but sporadically extraordinary.","2016-06-08","2016-06-09","2017-11-02 04:18:24","article","https://www.nytimes.com/2016/06/09/movies/review-til-madness-do-us-part-finds-hell-and-humanity.html","Read the New York Times Review of 'Til Madness Do Us Part","mediumThreeByTwo210","https://static01.nyt.com/images/2016/06/09/arts/09TILMADNESS/09TILMADNESS-mediumThreeByTwo210.jpg",140,210,0.05,0.193649167310371,0.75
"2","(T)error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"KEN JAWOROWSKI","Review: ‘(T)error’ Documentary Follows an Informant in an F.B.I. Inquiry","This documentary raises questions about the agency’s methods, as an informant is told to persist with an inquiry after he concludes that its target is not a serious threat.","2015-10-06","2015-10-08","2017-11-02 04:18:22","article","https://www.nytimes.com/2015/10/07/movies/review-t-error-documentary-follows-an-informant-in-an-fbi-inquiry.html","Read the New York Times Review of (T)error","mediumThreeByTwo210","https://static01.nyt.com/images/2015/10/07/arts/07TERROR/07TERROR-mediumThreeByTwo210.jpg",140,210,-0.025,0.136930639376292,-0.75
"3","\Pain and Glory\",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R",1,"MANOHLA DARGIS","‘Pain and Glory’ Review: Almodóvar’s Dazzling Art of Self-Creation","Antonio Banderas plays a filmmaker in crisis in Pedro Almodóvar’s movie about loss, love, imagination and memory.","2019-10-03","2019-10-04","2019-11-03 17:44:01","article","https://www.nytimes.com/2019/10/03/movies/pain-and-glory-review.html","Read the New York Times Review of \Pain and Glory\","mediumThreeByTwo210","https://static01.nyt.com/images/2019/10/02/arts/00painandglory-1/merlin_161549757_0e3807a1-a687-42c5-ba71-bcf0de20af8b-mediumThreeByTwo210.jpg",140,210,-0.0416666666666667,0.312132136423399,-0.75
"4","#Female Pleasure","tt8372826",7.5,526,"movie","#Female Pleasure",0,"2018","\N","101","Documentary","",0,"JEANNETTE CATSOULIS","‘#Female Pleasure’ Review: Fighting the Patriarchy","Barbara Miller’s humane profile of five women fighting back against sexism and misogyny is a hopeful, clearheaded confessional.","2019-10-17","2019-10-18","2019-10-25 16:44:02","article","https://www.nytimes.com/2019/10/17/movies/female-pleasure-review.html","Read the New York Times Review of #Female Pleasure","mediumThreeByTwo210","https://static01.nyt.com/images/2019/10/15/arts/female1/female1-mediumThreeByTwo210.jpg",140,210,0.0236842105263158,0.283023566476869,0.45
"5","#Horror","tt3526286",3,3431,"movie","#Horror",0,"2015","\N","97","Crime,Drama,Horror","Not Rated",0,"JEANNETTE CATSOULIS","Review: ‘#Horror’ Finds the Fear in Cyberbullying and Social Media Threats","In this feature directorial debut by Tara Subkoff, girls neglected by their parents and obsessed with their cellphones fall prey to perils of the online world.","2015-11-19","2015-11-20","2017-11-02 04:18:23","article","https://www.nytimes.com/2015/11/20/movies/review-horror-finds-the-fear-in-cyberbullying-and-social-media-threats.html","Read the New York Times Review of #Horror","mediumThreeByTwo210","https://static01.nyt.com/images/2015/11/20/arts/20SUBHORROR/20SUBHORROR-mediumThreeByTwo210.jpg",140,210,-0.0730769230769231,0.189330805328013,-1.9
"6","#Stuck","tt2075318",5.6,1084,"movie","#Stuck",0,"2014","\N","82","Comedy,Drama,Romance","",0,"NICOLAS RAPOLD","Road Rage as Aphrodisiac","&#8220;Stuck&#8221; centers on a couple who meet at a bar, spend the night together and then endure being caught in a morning traffic jam.","2014-10-09","2014-10-10","2017-11-02 04:18:19","article","https://www.nytimes.com/2014/10/10/movies/stuck-about-an-awkward-couple-in-a-traffic-jam.html","Read the New York Times Review of #Stuck","mediumThreeByTwo210","https://static01.nyt.com/images/2014/10/10/arts/10SUBSTUCK/SUBSTUCK-mediumThreeByTwo210.jpg",140,210,0,0.0707106781186548,0
"7","1","tt1859618",8.4,23,"movie","1",0,"2020","\N","100","Drama","",1,"JEANNETTE CATSOULIS","Revelers, Pause to Meet Yourselves","A bawdy college kegger has a possible extraterrestrial mystery in “+1.”","2013-09-19","2014-01-10","2017-11-02 04:18:18","article","https://www.nytimes.com/2013/09/20/movies/1-a-sci-fi-party-film-from-dennis-iliadis.html","Read the New York Times Review of 1","mediumThreeByTwo210","https://static01.nyt.com/images/2013/09/20/arts/20RDP_PLUSONE_SPAN/PLUSONE-mediumThreeByTwo210.jpg",140,210,-0.0590909090909091,0.135680105059994,-0.65
"8","1","tt2518788",8,3916,"movie","1",0,"2013","\N","112","Documentary,History,Sport","",1,"JEANNETTE CATSOULIS","Revelers, Pause to Meet Yourselves","A bawdy college kegger has a possible extraterrestrial mystery in “+1.”","2013-09-19","2014-01-10","2017-11-02 04:18:18","article","https://www.nytimes.com/2013/09/20/movies/1-a-sci-fi-party-film-from-dennis-iliadis.html","Read the New York Times Review of 1","mediumThreeByTwo210","https://static01.nyt.com/images/2013/09/20/arts/20RDP_PLUSONE_SPAN/PLUSONE-mediumThreeByTwo210.jpg",140,210,-0.0590909090909091,0.135680105059994,-0.65
"9","1 Night","tt4126694",5.8,1873,"movie","One Night",0,"2016","\N","80","Drama,Romance","",0,"NEIL GENZLINGER","Review: In ‘1 Night,’ a Hotel, 2 Couples, a Bad Prom and a Reckoning","This debut feature by Minhal Baig has two high school students, a couple in their 30s and a dash of charm.","2017-02-09","2017-02-10","2017-11-02 04:18:26","article","https://www.nytimes.com/2017/02/09/movies/1-night-review-isabelle-fuhrman.html","Read the New York Times Review of 1 Night","mediumThreeByTwo210","https://static01.nyt.com/images/2017/02/10/arts/10ONENIGHT1/10ONENIGHT1-mediumThreeByTwo210.jpg",140,210,0.0357142857142857,0.163663417676994,0.75
"10","10 Cloverfield Lane","tt1179933",7.2,294338,"movie","10 Cloverfield Lane",0,"2016","\N","103","Action,Drama,Horror","PG-13",1,"JEANNETTE CATSOULIS","Review: ‘10 Cloverfield Lane’ Houses a Survivalist, His Captive and Jolts","J.J. Abrams produced but did not direct this thriller, which is only slightly connected to his “Cloverfield” (2008) and stars Mary Elizabeth Winstead.","2016-03-10","2016-03-11","2017-11-02 04:18:23","article","https://www.nytimes.com/2016/03/11/movies/10-cloverfield-lane-review.html","Read the New York Times Review of 10 Cloverfield Lane","mediumThreeByTwo210","https://static01.nyt.com/images/2016/03/11/arts/cloverfield-1/cloverfield-1-mediumThreeByTwo210.jpg",140,210,0.00416666666666667,0.0204124145231932,0.1
"11","10 Minutes Gone","tt8809652",3.6,2726,"movie","10 Minutes Gone",0,"2019","\N","89","Action,Crime,Thriller","R",0,"GLENN KENNY","‘10 Minutes Gone’ Review: A Forgettable Shoot-’em-Up","Bruce Willis and Michael Chiklis star in this crime potboiler about a robbery gone wrong in Cincinnati.","2019-09-26","2019-09-27","2019-10-04 16:44:01","article","https://www.nytimes.com/2019/09/26/movies/10-minutes-gone-review.html","Read the New York Times Review of 10 Minutes Gone","mediumThreeByTwo210","https://static01.nyt.com/images/2019/09/26/arts/26tenminutes/merlin_161090526_c0865a2c-54cb-4512-8127-e2ebc1e0f972-mediumThreeByTwo210.jpg",140,210,-0.111764705882353,0.376882529677976,-1.9
"12","10 Rules for Sleeping Around","tt1993391",3.7,2781,"movie","10 Rules for Sleeping Around",0,"2013","\N","94","Comedy,Romance","R",0,"NEIL GENZLINGER","Open Marriage Trying to Induce Same","“10 Rules for Sleeping Around,” about one couple who allow each other to fool around and another that doesn’t, combines nudity and jokes, but fails to be a sex comedy.","2014-04-03","2014-04-04","2017-11-02 04:18:18","article","https://www.nytimes.com/2014/04/04/movies/10-rules-for-sleeping-around-combines-nudity-and-jokes.html","Read the New York Times Review of 10 Rules for Sleeping Around","mediumThreeByTwo210","https://static01.nyt.com/images/2014/04/04/arts/04RDP_TENRULES_SPAN/TENRULES-mediumThreeByTwo210.jpg",140,210,0.00645161290322581,0.223137452214202,0.2
"13","10 Years","tt1715873",6.1,24134,"movie","10 Years",0,"2011","\N","110","Comedy,Drama,Romance","PG-13",0,"STEPHEN HOLDEN","High School Is Over, but the Angst Is Not","In the high school reunion comedy “10 Years,” some old classmates are struggling to grow up.","2012-09-13","2012-10-05","2017-11-02 04:18:15","article","https://www.nytimes.com/2012/09/14/movies/10-years-a-comedy-directed-by-jamie-linden.html","Read the New York Times Review of 10 Years","","",NA,NA,0.1,0.3286335345031,1.6
"14","10,000 KM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R",0,"A. O. SCOTT","Review: In &#8216;10.000 km,&#8217; Lovers an Ocean Apart Struggle to Connect","Carlos Marques-Marcet’s film about a couple’s shift to a long-distance relationship looks at the role technology plays in negotiating absence.","2015-07-09","2015-07-10","2017-11-02 04:18:21","article","https://www.nytimes.com/2015/07/10/movies/review-in-10-000-km-lovers-an-ocean-apart-struggle-to-connect.html","Read the New York Times Review of 10,000 KM","mediumThreeByTwo210","https://static01.nyt.com/images/2015/07/10/arts/10TENTHOU/TENTHOU-mediumThreeByTwo210.jpg",140,210,-0.0166666666666667,0.10494995356656,-0.4
"15","10,000 Saints","tt3397754",5.9,5346,"movie","10,000 Saints",0,"2015","\N","113","Comedy,Drama,Music","R",1,"NEIL GENZLINGER","Review: &#8216;Ten Thousand Saints,&#8217; a Coming of Age in the East Village, Circa 1980s","A troubled Vermont teenager is sent to live with his estranged father in New York and finds himself there during a defining cultural moment.","2015-08-13","2015-08-14","2017-11-02 04:18:22","article","https://www.nytimes.com/2015/08/14/movies/review-ten-thousand-saints-a-coming-of-age-in-the-east-village-circa-1980s.html","Read the New York Times Review of 10,000 Saints","mediumThreeByTwo210","https://static01.nyt.com/images/2015/08/14/arts/14TENTHOUSAND/14TENTHOUSAND-mediumThreeByTwo210.jpg",140,210,-0.01875,0.250570002368513,-0.45
"16","100 Streets","tt2990126",5.8,3756,"movie","100 Streets",0,"2016","\N","93","Drama","",0,"NEIL GENZLINGER","Review: ‘100 Streets,’ Where an Ex-Jock, a Cabby and a Thug Struggle","Idris Elba is among the stars of this Jim O’Hanlon film, a converging-narratives movie set in London.","2017-01-12","2017-01-13","2017-11-02 04:18:26","article","https://www.nytimes.com/2017/01/12/movies/100-streets-review-idris-elba.html","Read the New York Times Review of 100 Streets","mediumThreeByTwo210","https://static01.nyt.com/images/2017/01/13/arts/13ONEHUNDRED/13ONEHUNDRED-mediumThreeByTwo210-v2.jpg",140,210,0,0,0
"17","1000 Rupee Note",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"HELEN T. VERONGOS","Review: ‘1000 Rupee Note,’ a Poor Widow’s Blessing and Curse","In this film, set in the Maharashtra State of India, a villager sets off on a fraught shopping trip after receiving a few 1,000-rupee notes at a political rally.","2016-09-22","2016-09-23","2017-11-02 04:18:25","article","https://www.nytimes.com/2016/09/23/movies/1000-rupee-note-review.html","Read the New York Times Review of 1000 Rupee Note","mediumThreeByTwo210","https://static01.nyt.com/images/2016/09/23/arts/23THOUSAND/23THOUSAND-mediumThreeByTwo210.jpg",140,210,0.0129032258064516,0.160710786785602,0.4
"18","11:55","tt4250438",5,497,"movie","11:55",0,"2016","\N","80","Crime,Drama","",0,"JEANNETTE CATSOULIS","Review: In ‘11:55,’ a Marine Returns Home to Another War","Ari Issler and Ben Snyder’s intimate feature focuses on a young soldier who comes back from Afghanistan to face the fallout from a long-ago crime.","2017-06-08","2017-06-09","2017-11-02 04:18:27","article","https://www.nytimes.com/2017/06/08/movies/1155-review.html","Read the New York Times Review of 11:55","mediumThreeByTwo210","https://static01.nyt.com/images/2017/06/09/arts/09ELEVEN/09ELEVEN-mediumThreeByTwo210.jpg",140,210,-0.012962962962963,0.216436432572544,-0.35
"19","11/8/16","tt7208366",5.3,260,"movie","11/8/16",0,"2017","\N","104","Documentary","",0,"KEN JAWOROWSKI","Review: In ‘11/8/16,’ Looking at Election Day, After the Race Is Run","The documentary followed more than 16 people to the polls on Election Day to learn about their thoughts and feelings on the candidates.","2017-11-02","2017-11-01","2017-11-10 17:44:01","article","https://www.nytimes.com/2017/11/02/movies/11-8-16-review.html","Read the New York Times Review of 11/8/16","mediumThreeByTwo210","https://static01.nyt.com/images/2017/11/01/arts/eleven-eight1/eleven-eight1-mediumThreeByTwo210.jpg",140,210,0.0347826086956522,0.16681153124566,0.8
"20","12 Days","tt6777114",7.1,428,"movie","12 jours",0,"2017","\N","87","Documentary","",0,"MANOHLA DARGIS","Review: ‘12 Days’ and the Rights of the Mentally Ill","In this lucid documentary, the veteran filmmaker Raymond Depardon explores French law and the care of psychiatric patients.","2018-03-15","2018-03-16","2018-03-23 16:44:01","article","https://www.nytimes.com/2018/03/15/movies/12-days-review-documentary-raymond-depardon.html","Read the New York Times Review of 12 Days","mediumThreeByTwo210","https://static01.nyt.com/images/2018/03/16/arts/16twelvedays/16twelvedays-mediumThreeByTwo210.jpg",140,210,0.075,0.239023749742942,1.35
"21","12 O'Clock Boys","tt2420006",6.5,1377,"movie","12 O'Clock Boys",0,"2013","\N","76","Biography,Crime,Documentary","",0,"NICOLAS RAPOLD","Thrilling to the Brrroom of a Renegade Cohort","The documentary “12 O’Clock Boys” follows a youth through his initiation into a group of dirt bike riders who like to taunt the police.","2014-01-30","2014-01-31","2017-11-02 04:18:18","article","https://www.nytimes.com/2014/01/31/movies/12-oclock-boys-centers-on-dirt-bike-riders-in-baltimore.html","Read the New York Times Review of 12 O'Clock Boys","mediumThreeByTwo210","https://static01.nyt.com/images/2014/01/31/arts/31TWELVE_SPAN/31TWELVE_SPAN-mediumThreeByTwo210.jpg",140,210,-0.024,0.230090561880896,-0.6
"22","12 Strong","tt1413492",6.6,69445,"movie","12 Strong",0,"2018","\N","130","Action,Drama,History","R",0,"MANOHLA DARGIS","Review: ‘12 Strong’ Believes in the Brotherhood of Battle","Chris Hemsworth stars in this action movie about a Special Forces team on a dangerous mission in Afghanistan right after Sept. 11.","2018-01-18","2018-01-19","2018-02-18 17:44:02","article","https://www.nytimes.com/2018/01/18/movies/12-strong-review-chris-hemsworth.html","Read the New York Times Review of 12 Strong","mediumThreeByTwo210","https://static01.nyt.com/images/2018/01/19/arts/19twelvestrong-1/19twelvestrong-1-mediumThreeByTwo210.jpg",140,210,0.0613636363636364,0.268120361290463,1.35
"23","12 Years a Slave","tt2024544",8.1,648739,"movie","12 Years a Slave",0,"2013","\N","134","Biography,Drama,History","R",1,"MANOHLA DARGIS","The Blood and Tears, Not the Magnolias","Steve McQueen’s “12 Years a Slave,” based on the true story of Solomon Northup, drives straight to the heart of the cruelties of oppression.","2013-10-17","2013-11-08","2017-11-02 04:18:18","article","https://www.nytimes.com/2013/10/18/movies/12-years-a-slave-holds-nothing-back-in-show-of-suffering.html","Read the New York Times Review of 12 Years a Slave","mediumThreeByTwo210","https://static01.nyt.com/images/2013/10/18/arts/18TWELVE_SPAN/18TWELVE-mediumThreeByTwo210.jpg",140,210,-0.046,0.314218607554252,-1.15
"24","12-12-12","tt3234082",5,148,"movie","12-12-12",0,"2013","\N","105","Documentary","R",0,"STEPHEN HOLDEN","A Scrapbook of a Memorable Night for Rock","The documentary “12-12-12” goes behind the scenes at the Concert for Sandy Relief, with Bruce Springsteen, the Rolling Stones and Kanye West.","2013-11-14","2013-11-01","2017-11-02 04:18:18","article","https://www.nytimes.com/2013/11/15/movies/12-12-12-with-bruce-springsteen-and-the-rolling-stones.html","Read the New York Times Review of 12-12-12","mediumThreeByTwo210","https://static01.nyt.com/images/2013/11/15/arts/15TWELVE_SPAN/15TWELVE_SPAN-mediumThreeByTwo210.jpg",140,210,0.0208333333333333,0.102062072615966,0.5
"25","127 Hours","tt1542344",7.5,351325,"movie","127 Hours",0,"2010","\N","94","Biography,Drama","R",1,"A. O. SCOTT","The Tale of a Shocking Fall and a Gritty Resolve","Danny Boyle’s “127 Hours” recreates the ordeal of Aron Ralston, the hiker who decided to extricate himself from a narrow slot of rock by severing an arm.","2010-11-04","2011-01-28","2017-11-02 04:18:12","article","https://www.nytimes.com/2010/11/05/movies/05one.html","Read the New York Times Review of 127 Hours","","",NA,NA,-0.00357142857142857,0.123174500899974,-0.1
"26","12th Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"TEO BUGBEE","Review: On the Run From the Nazis in the Arctic in ‘The 12th Man’","Escape is a matter of endurance in this true story of Jan Baalsrud during World War II.","2018-05-03","2018-05-04","2018-05-11 16:44:01","article","https://www.nytimes.com/2018/05/03/movies/the-12th-man-review-escape-from-nazis.html","Read the New York Times Review of 12th Man","mediumThreeByTwo210","https://static01.nyt.com/images/2018/05/04/arts/04thetwelfth/04thetwelfth-mediumThreeByTwo210.jpg",140,210,0.0205882352941176,0.239177512222494,0.35
"27","13 Cameras","tt4392454",5.1,4931,"movie","Slumlord",0,"2015","\N","87","Crime,Drama,Horror","",1,"NEIL GENZLINGER","Review: ‘13 Cameras,’ Keeping a Watchful Eye and Then Some","A creepy landlord, a father-to-be with a wandering eye, and a lot more than a couple bargained for in renting a home.","2016-04-14","2016-04-15","2017-11-02 04:18:24","article","https://www.nytimes.com/2016/04/15/movies/13-cameras-review.html","Read the New York Times Review of 13 Cameras","mediumThreeByTwo210","https://static01.nyt.com/images/2016/04/15/arts/13THIRTEEN/13THIRTEEN-mediumThreeByTwo210-v3.jpg",140,210,-0.0416666666666667,0.204124145231932,-1
"28","13 Hours: The Secret Soldiers of Benghazi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R",0,"MANOHLA DARGIS","Review: In Michael Bay’s ‘13 Hours: The Secret Soldiers of Benghazi,’ Clarity Isn’t the Objective","Mr. Bay has moderately scaled back his extreme-cinema approach for the story about the attack on the American diplomatic mission in 2012.","2016-01-14","2016-01-15","2017-11-02 04:18:23","article","https://www.nytimes.com/2016/01/15/movies/review-in-michael-bays-13-hours-the-secret-soldiers-of-benghazi-clarity-isnt-the-objective.html","Read the New York Times Review of 13 Hours: The Secret Soldiers of Benghazi","mediumThreeByTwo210","https://static01.nyt.com/images/2016/01/15/arts/15THIRTEENSUB/15THIRTEENSUB-mediumThreeByTwo210.jpg",140,210,-0.0108695652173913,0.191854894113382,-0.25
"29","13 Minutes","tt1708135",7,8527,"movie","Elser",0,"2015","\N","114","Biography,Drama,War","R",0,"JEANNETTE CATSOULIS","Review: From Wooing Women to Plotting Hitler’s Murder in ‘13 Minutes’","A German biopic tells the story of Georg Elser, a carpenter who tried to blow up the Führer in 1939.","2017-06-29","2017-06-30","2017-11-02 04:18:27","article","https://www.nytimes.com/2017/06/29/movies/13-minutes-review.html","Read the New York Times Review of 13 Minutes","mediumThreeByTwo210","https://static01.nyt.com/images/2017/06/30/arts/30THIRTEEN/30THIRTEEN-mediumThreeByTwo210.jpg",140,210,-0.02,0.0894427190999916,-0.4
"30","14 Blades","tt1442571",6.3,7636,"movie","Jin yi wei",0,"2010","\N","114","Action,History,Thriller","R",0,"DANIEL M. GOLD","Martial Arts Warriors Crowd a Fried-Noodle Western","In “14 Blades” by Daniel Lee, a martial arts master must escape to China’s far frontier.","2014-08-21","2014-08-22","2017-11-02 04:18:19","article","https://www.nytimes.com/2014/08/22/movies/donnie-yen-fights-them-all-in-daniel-lees-14-blades.html","Read the New York Times Review of 14 Blades","mediumThreeByTwo210","https://static01.nyt.com/images/2014/08/22/arts/22FOURTEEN/22FOURTEEN-mediumThreeByTwo210.jpg",140,210,-0.0382352941176471,0.111143786045242,-0.65
"31","16 Bars","tt10021622",6.6,37,"movie","16 Bars",0,"2018","\N","94","Documentary","",0,"BEN KENIGSBERG","‘16 Bars’ Review: Inmates Find the Beat","This film about a music workshop held at a city jail only sometimes transcends its role as an awareness tool.","2019-11-07","2019-11-08","2019-11-15 17:44:02","article","https://www.nytimes.com/2019/11/07/movies/16-bars-review.html","Read the New York Times Review of 16 Bars","mediumThreeByTwo210","https://static01.nyt.com/images/2019/11/08/arts/08sixteen1/sixteen1-mediumThreeByTwo210.jpg",140,210,-0.01,0.229186203313973,-0.2
"32","16 Bars","tt11131480",7.7,6,"movie","16 Bars",0,"2020","\N","\N","Action","",0,"BEN KENIGSBERG","‘16 Bars’ Review: Inmates Find the Beat","This film about a music workshop held at a city jail only sometimes transcends its role as an awareness tool.","2019-11-07","2019-11-08","2019-11-15 17:44:02","article","https://www.nytimes.com/2019/11/07/movies/16-bars-review.html","Read the New York Times Review of 16 Bars","mediumThreeByTwo210","https://static01.nyt.com/images/2019/11/08/arts/08sixteen1/sixteen1-mediumThreeByTwo210.jpg",140,210,-0.01,0.229186203313973,-0.2
"33","16 Shots","tt10331828",7.1,367,"movie","16 Shots",0,"2019","\N","82","Documentary","",0,"KEN JAWOROWSKI","‘16 Shots’ Review: Chicago’s Rage After a Killing by the Police","The documentary recounts the shooting of Laquan McDonald and the resulting trial of Jason Van Dyke.","2019-06-06","2019-06-14","2019-06-14 16:44:01","article","https://www.nytimes.com/2019/06/06/movies/16-shots-review.html","Read the New York Times Review of 16 Shots","mediumThreeByTwo210","https://static01.nyt.com/images/2019/06/05/arts/sixteen1/sixteen1-mediumThreeByTwo210.jpg",140,210,-0.0375,0.15,-0.6
"34","16-Love","tt1663673",5.7,1560,"movie","16-Love",0,"2012","\N","88","Comedy,Drama,Family","PG",0,"JEANNETTE CATSOULIS","A Match That Ends at Deuce","In “16-Love,” Lindsey Shaw plays a teenager who finds there’s life (and romance) off the tennis court.","2012-01-19","2012-01-20","2017-11-02 04:18:14","article","https://www.nytimes.com/2012/01/20/movies/16-love-about-a-tennis-prodigy-review.html","Read the New York Times Review of 16-Love","","",NA,NA,0.0657894736842105,0.201420394793071,1.25
"35","17 Girls","tt1860152",6,3092,"movie","17 filles",0,"2011","\N","86","Drama","Not Rated",1,"STEPHEN HOLDEN","Follow the Leader, to Extremes","When a high school alpha girl becomes pregnant, 16 other girls follow suit in the film “17 Girls,” which wavers between light comedy and drama.","2012-09-20","2012-09-21","2017-11-02 04:18:15","article","https://www.nytimes.com/2012/09/21/movies/17-girls-directed-by-delphine-and-muriel-coulin.html","Read the New York Times Review of 17 Girls","","",NA,NA,0.01,0.113651514141549,0.25
"36","1917","tt8579674",8.3,450443,"movie","1917",0,"2019","\N","119","Drama,Thriller,War","R",0,"Manohla Dargis","‘1917’ Review: Paths of Technical Glory","Sam Mendes directs this visually extravagant drama about young British soldiers on a perilous mission in World War I.","2019-12-24","2019-12-25","2020-01-24 17:44:02","article","https://www.nytimes.com/2019/12/24/movies/1917-review.html","Read the New York Times Review of 1917","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/23/movies/001917-pic-promo/001917-pic-promo-mediumThreeByTwo210-v3.jpg",140,210,-0.0236842105263158,0.220081058963782,-0.45
"37","1945","tt5815492",7.1,3454,"movie","1945",0,"2017","\N","91","Drama","",0,"BEN KENIGSBERG","Review: In ‘1945,’ Hungarian Villagers Are Forced to Revisit Wartime Sins","Ferenc Torok’s lean feature is a Holocaust film built, consciously or not, on a reversal of the tropes of the western.","2017-10-31","2017-11-01","2017-12-01 17:44:02","article","https://www.nytimes.com/2017/10/31/movies/1945-review-ferenc-torok.html","Read the New York Times Review of 1945","mediumThreeByTwo210","https://static01.nyt.com/images/2017/11/01/arts/01NINETEENFORTYFIVE/01NINETEENFORTYFIVE-mediumThreeByTwo210.jpg",140,210,-0.0181818181818182,0.253802254551815,-0.4
"38","1st Night",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Rated",0,"STEPHEN HOLDEN","It’s Tough to Keep a Tune, but Easy to Fall in Love","Mozart’s comic opera “Così Fan Tutte” inspires a subplot in the movie “1st Night,” directed by Christopher Menaul.","2013-05-02","2013-05-03","2017-11-02 04:18:16","article","https://www.nytimes.com/2013/05/03/movies/1st-night-directed-by-christopher-menaul.html","Read the New York Times Review of 1st Night","","",NA,NA,0.0421052631578947,0.183532587096449,0.8
"39","2 Guns","tt1272878",6.7,199010,"movie","2 Guns",0,"2013","\N","109","Action,Crime,Thriller","R",0,"MANOHLA DARGIS","Two Good Guys (or So They Seem) Behaving Badly","The Baltasar Kormakur buddy film “2 Guns” turns on a pair of seemingly bad guys who may be good, out to rob a drug cartel’s money from a bank.","2013-08-01","2013-08-02","2017-11-02 04:18:17","article","https://www.nytimes.com/2013/08/02/movies/denzel-washington-and-mark-wahlberg-star-in-2-guns.html","Read the New York Times Review of 2 Guns","","",NA,NA,0.0416666666666667,0.293928015270609,1.25
"40","2 Jacks","tt1799585",4.8,332,"movie","2 Jacks",0,"2012","\N","90","Comedy,Drama","",0,"STEPHEN HOLDEN","A Gene That Doesn’t Recede","“Two Jacks,” adapted from a short Tolstoy novel, is a satirical comedy about Hollywood nepotism and wheeling and dealing.","2013-10-17","2013-10-18","2017-11-02 04:18:17","article","https://www.nytimes.com/2013/10/18/movies/2-jacks-a-satire-of-hollywood-machinations.html","Read the New York Times Review of 2 Jacks","mediumThreeByTwo210","https://static01.nyt.com/images/2013/10/18/arts/18TWOJACKS_SPAN/TWOJACKS-mediumThreeByTwo210.jpg",140,210,-0.00789473684210526,0.178156577430841,-0.15
"41","20 Feet From Stardom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PG-13",0,"A. O. SCOTT","Turning Up the Voices From the Background","The documentary “20 Feet From Stardom” seeks to rewrite the history of pop music by focusing attention on voices at once marginal and vital.","2013-06-13","2013-07-26","2017-11-02 04:18:17","article","https://www.nytimes.com/2013/06/14/movies/20-feet-from-stardom-explores-world-of-backup-singers.html","Read the New York Times Review of 20 Feet From Stardom","","",NA,NA,0.025,0.185331665095192,0.6
"42","20th Century Women","tt4385888",7.3,40921,"movie","20th Century Women",0,"2016","\N","119","Comedy,Drama","R",1,"MANOHLA DARGIS","Review: 1 Teenage Boy and 3 Mothers in ‘20th Century Women’","Annette Bening stars as a complicated and divorced Santa Barbara mother in Mike Mills’s funny, emotionally piercing new film.","2016-12-27","2017-01-20","2017-11-02 04:18:26","article","https://www.nytimes.com/2016/12/27/movies/review-20th-century-women.html","Read the New York Times Review of 20th Century Women","mediumThreeByTwo210","https://static01.nyt.com/images/2016/12/28/arts/28TWENTIETH/28TWENTIETH-mediumThreeByTwo210-v2.jpg",140,210,0.0425,0.286207046880769,0.85
"43","21 and Over",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R",0,"NICOLE HERRINGTON","With Friends Like These . . .","“21 & Over,” the directorial debut of the “Hangover” screenwriting team, Jon Lucas and Scott Moore, follows an odd couple through a night of juvenile debauchery.","2013-03-01","2013-03-01","2017-11-02 04:18:16","article","https://www.nytimes.com/2013/03/02/movies/21-over-directed-by-jon-lucas-and-scott-moore.html","Read the New York Times Review of 21 and Over","","",NA,NA,-0.034,0.11060440015358,-0.85
"44","21 Bridges","tt8688634",6.6,52913,"movie","21 Bridges",0,"2019","\N","99","Action,Crime,Thriller","R",0,"Jeannette Catsoulis","‘21 Bridges’ Review: Catch Us if You Can","In this sturdy thriller, Chadwick Boseman plays a Manhattan detective on the hunt for two squirrelly cop killers.","2019-11-21","2019-11-22","2019-12-21 17:44:01","article","https://www.nytimes.com/2019/11/21/movies/21-bridges-review.html","Read the New York Times Review of 21 Bridges","mediumThreeByTwo210","https://static01.nyt.com/images/2019/11/19/arts/twenty1/twenty1-mediumThreeByTwo210-v2.jpg",140,210,-0.0222222222222222,0.271283562424689,-0.4
