"","primaryTitle","tconst","averageRating","numVotes","titleType","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","rating","critics_pick","author","headline","summary","pub_date","opening_date","updated_date","link_type","link_url","link_suggested","multimedia_type","multi_media_src","multimedia_height","multimedia_width","sent_mean","sent_sd","sent_sum"
"810","Burlesque","tt1126591",6.4,79633,"movie","Burlesque",0,"2010","\N","119","Drama,Music,Musical","PG-13",0,"MANOHLA DARGIS","Small-Town Girl Trades Her Naïveté for Lingerie","In “Burlesque,” Christina Aguilera walks into Cher’s Los Angeles club, one of those atmospheric holes in the wall where dreams turn into realities.","2010-11-23","2010-11-24","2017-11-02 04:18:12","article","https://www.nytimes.com/2010/11/24/movies/24burlesque.html","Read the New York Times Review of Burlesque","","",NA,NA,0.0104166666666667,0.0510310363079829,0.25
"811","Burn Country","tt3519772",4.8,774,"movie","Burn Country",0,"2016","\N","102","Drama,Thriller,War","",0,"NEIL GENZLINGER","Review: An Afghan in a Strange Land (California) in ‘Burn Country’","A former assistant to a war journalist resettles in small-town America, where culture clashes turn mysterious and dangerous.","2016-12-08","2016-12-09","2017-11-02 04:18:26","article","https://www.nytimes.com/2016/12/08/movies/burn-country-review.html","Read the New York Times Review of Burn Country","mediumThreeByTwo210","https://static01.nyt.com/images/2016/12/09/arts/09BURN/09BURN-mediumThreeByTwo210-v2.jpg",140,210,-0.0842105263157895,0.291095932821575,-1.6
"812","Burning","tt7282468",7.5,51817,"movie","Beoning",0,"2018","\N","148","Drama,Mystery","Not Rated",1,"MANOHLA DARGIS","Review: In ‘Burning,’ Love Ignites a Divided World","The great South Korean director Lee Chang-dong’s latest involves three characters subsumed by desire and rage.","2018-10-25","2018-11-09","2018-11-25 17:44:01","article","https://www.nytimes.com/2018/10/25/movies/burning-review.html","Read the New York Times Review of Burning","mediumThreeByTwo210","https://static01.nyt.com/images/2018/10/26/arts/26burning-top/26burning-top-mediumThreeByTwo210-v3.jpg",140,210,0.0194444444444444,0.313020807844767,0.35
"813","Burning Blue","tt1811307",6.2,2027,"movie","Burning Blue",0,"2013","\N","96","Biography,Drama,Romance","R",0,"ANITA GATES","Navy Pilots Under the Gun","In D M W Greer’s “Burning Blue,” Navy fighter pilots become the focus of an investigation that exposes a homosexual affair.","2014-06-05","2014-06-06","2017-11-02 04:18:19","article","https://www.nytimes.com/2014/06/06/movies/burning-blue-a-military-drama-about-homosexuality.html","Read the New York Times Review of Burning Blue","mediumThreeByTwo210","https://static01.nyt.com/images/2014/06/06/arts/06BURNING/BURNING-mediumThreeByTwo210.jpg",140,210,-0.0204545454545455,0.186865810593675,-0.45
"814","Burning Cane","tt7358154",5.5,551,"movie","Burning Cane",0,"2019","\N","77","Drama","",1,"GLENN KENNY","‘Burning Cane’ Review: Poverty and Despair in Rural Louisiana","The director Phillip Youmans completed this, his first feature, while still in his teens. It feels like the work of an older, and fully formed, artist.","2019-10-24","2019-10-25","2019-11-15 03:44:01","article","https://www.nytimes.com/2019/10/24/movies/burning-cane-review.html","Read the New York Times Review of Burning Cane","mediumThreeByTwo210","https://static01.nyt.com/images/2019/10/25/arts/24burning/merlin_162979698_0fef3cbf-1f57-4374-a5d4-8da952532c16-mediumThreeByTwo210.jpg",140,210,0.0769230769230769,0.172180584986095,2
"815","Burnt","tt2503944",6.6,108147,"movie","Burnt",0,"2015","\N","101","Comedy,Drama","R",0,"NEIL GENZLINGER","Review: ‘Burnt,’ With Bradley Cooper as a Chef Fresh From Rehab","In John Wells’s film, a bad-boy restaurant star tries to make a new start with the help of Sienna Miller.","2015-10-29","2015-10-30","2017-11-02 04:18:22","article","https://www.nytimes.com/2015/10/30/movies/review-burnt-with-bradley-cooper-as-a-chef-fresh-from-rehab.html","Read the New York Times Review of Burnt","mediumThreeByTwo210","https://static01.nyt.com/images/2015/10/30/arts/30BURNT/30BURNT-mediumThreeByTwo210.jpg",140,210,0.0409090909090909,0.275004919279102,0.9
"816","Burying the Ex","tt3339674",5.4,10034,"movie","Burying the Ex",0,"2014","\N","89","Comedy,Horror,Romance","R",0,"BEN KENIGSBERG","Review: &#8216;Burying the Ex,&#8217; a Joe Dante Zombie Tale","A looming breakup doesn&#8217;t go as planned in the first feature in six years from the director of the &#8220;Gremlins&#8221; movies and &#8220;The &#8217;Burbs.&#8221;","2015-06-18","2015-06-19","2017-11-02 04:18:21","article","https://www.nytimes.com/2015/06/19/movies/review-burying-the-ex-a-joe-dante-zombie-tale.html","Read the New York Times Review of Burying the Ex","mediumThreeByTwo210","https://static01.nyt.com/images/2015/06/19/arts/19BURYING/19BURYING-mediumThreeByTwo210.jpg",140,210,-0.0354838709677419,0.177573247040527,-1.1
"817","Bushwick","tt1592550",5.8,20,"movie","Bushwick",0,"2010","\N","72","Action,Crime,Drama","",0,"A.O. SCOTT","Review: A Civil War Erupts in ‘Bushwick’","Forget high rents and artisanal pizza. This dystopian glimpse of a Brooklyn neighborhood features an army of snipers and storm troopers.","2017-08-24","2017-08-25","2017-11-02 04:18:28","article","https://www.nytimes.com/2017/08/24/movies/bushwick-review-brittany-snow-dave-bautista.html","Read the New York Times Review of Bushwick","mediumThreeByTwo210","https://static01.nyt.com/images/2017/08/25/arts/25bushwick/25bushwick-mediumThreeByTwo210.jpg",140,210,-0.0357142857142857,0.119522860933439,-0.75
"818","Bushwick","tt4720702",5.2,10599,"movie","Bushwick",0,"2017","\N","94","Action,Thriller","",0,"A.O. SCOTT","Review: A Civil War Erupts in ‘Bushwick’","Forget high rents and artisanal pizza. This dystopian glimpse of a Brooklyn neighborhood features an army of snipers and storm troopers.","2017-08-24","2017-08-25","2017-11-02 04:18:28","article","https://www.nytimes.com/2017/08/24/movies/bushwick-review-brittany-snow-dave-bautista.html","Read the New York Times Review of Bushwick","mediumThreeByTwo210","https://static01.nyt.com/images/2017/08/25/arts/25bushwick/25bushwick-mediumThreeByTwo210.jpg",140,210,-0.0357142857142857,0.119522860933439,-0.75
"819","Busong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"ANDY WEBSTER","An Ode to Palawan","Auraeus Solito’s “Busong” is a quiet story set in Palawan, a tropical island paradise in the Philippines.","2012-06-28","2012-06-29","2017-11-02 04:18:15","article","https://www.nytimes.com/2012/06/29/movies/busong-by-auraeus-solito.html","Read the New York Times Review of Busong","","",NA,NA,0.0416666666666667,0.128623938856882,0.75
